kratek_naziv,drugi_nazivi,zacetek_aktivnosti,konec_aktivnosti,domneven_zacetek,domneven_konec,obmocja_delovanja,strani_z_omembo
Valentinčič,"['Anton Valentinčič', '*Janez Valentičič']",1844,1870,False,False,"['LJ', 'CE', 'KO']","[57, 92, 96, 168, 197, 296, 360, 377, 384, 417, 435, 496, 518, 526, 573, 609, 654]"
Valiček,"['Josip Valiček', 'Jožef Valiček', 'Bogomil Valiček', 'Brata Valiček', 'Cecilia Gorica']",1926,1971,False,False,['GO'],"[29, 30, 38, 55, 56, 58, 109, 135, 136, 137, 153, 154, 155, 156, 157, 169, 187, 202, 222, 244, 308, 352, 368, 380, 381, 384, 385, 438, 447, 460, 482, 485, 503, 527, 543, 570, 616, 637]"
Van Puffelen,['Karel Marinus van Puffelen'],1873,1873,False,False,['NL'],[377]
Velej,"['Janez Velej', 'Johann Welley']",1842,1864,False,False,['CE'],"[27, 56, 68, 147, 203, 377, 387, 469]"
Verschueren,['Leon Verschueren'],1950,1970,True,True,['NL'],"[169, 627]"
Vicentini,"['Andrea Vicentini', 'Giacomo Vicentini', 'Bernardino Vicentini']",1520,1535,False,False,['IT'],"[19, 33, 219]"
Vičič,['Miha Vičič'],1830,1857,False,False,['GO'],"[25, 28, 35, 37, 214, 558, 562]"
Vrabec,['Janko Vrabec'],1864,1887,False,False,['NM'],"[148, 260, 418]"
Walcker,[''],1968,1981,False,False,['DE'],"[30, 78, 292, 322, 330, 406, 410]"
Walcker Mayer,[''],1950,1962,True,False,['DE'],"[125, 237, 410, 473, 521]"
Wallenstein,"['Andreas Sebastian Wallenstein', 'Andrej Sebastjan Wallenstein']",1709,1709,False,False,['LJ'],"[24, 34, 286]"
Weber,['Jožef Weber'],1850,1860,False,False,['CE'],[187]
Werner,['Friedrich Werner'],1872,1872,False,False,['GR'],"[24, 35, 513, 566, 591]"
Zanin,"['Valentino Zanin', 'Giuseppe Zanin', 'Pietro Zanin', 'Francesco Zanin']",1878,1996,False,False,['IT'],"[153, 179, 226, 472, 527, 558]"
Zimnol,['Paul Zimnol'],1969,1969,False,False,['DE'],[421]
Zitzman,"['Georg Zitzmann', 'Zitzmann & Jeschek']",1928,1930,False,False,['GO'],"[29, 80, 161, 342, 447, 490, 619]"
Zupan,"['Ignacij Zupan st.', 'Ignacij Zupan ml.', 'Ivan Zupan', 'Ignacij Zupan in sinova', 'Brata Zupan']",1869,1915,False,False,['LJ'],"[27, 29, 38, 53, 59, 66, 75, 76, 80, 83, 93, 109, 112, 118, 120, 122, 137, 145, 157, 169, 170, 171, 176, 180, 191, 197, 202, 203, 213, 217, 227, 228, 232, 241, 254, 256, 257, 279, 282, 290, 305, 308, 312, 324, 325, 330, 331, 335, 338, 342, 348, 350, 368, 369, 370, 372, 385, 389, 390, 394, 399, 400, 411, 429, 431, 435, 436, 440, 441, 442, 444, 447, 456, 457, 465, 466, 467, 480, 482, 483, 489, 490, 493, 497, 499, 500, 513, 514, 523, 532, 537, 548, 549, 552, 555, 568, 570, 571, 591, 596, 599, 608, 613, 617, 620, 621, 635, 644]"
